race_eth,response
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
White,Not sure
Black,Yes
Black,Yes
Black,Yes
Black,Yes
Black,Yes
Black,Yes
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,No
Black,Not sure
Black,Not sure
Black,Not sure
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,Yes
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,No
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Hispanic,Not sure
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,Yes
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
Other,Not sure
